建築物名稱,轄管分局,地址_縣市別代碼,地址_行政區域代碼,里別,地址_鄰,地址_路,地址_非路,地址_街,地址_段,地址_巷,地址_弄,地址_衖,地址_號,地址_之號,地址_樓,地址_其他,地下樓層數,可容納人數,緯度,經度,備註
福利麵包食品有限公司,桃園分局,68000,68000010,建國里,0,建國東路,N/A,N/A,N/A,15,N/A,N/A,1,N/A,N/A,N/A,1,651,24.987074,121.320276,N/A
秀山官邸,桃園分局,68000,68000010,玉山里,0,秀山路,N/A,N/A,N/A,N/A,N/A,N/A,19,N/A,N/A,N/A,1、2,404,24.98951,121.303256,N/A
 昭揚CBD經貿中心,桃園分局,68000,68000010,文中里,3,正光路,N/A,N/A,N/A,N/A,N/A,N/A,423,11,N/A,N/A,1、2、3,1328,25.001124,121.294329,N/A
澄玉2社區大樓,桃園分局,68000,68000010,文中里,3,N/A,N/A,正光二街,N/A,N/A,N/A,N/A,166,N/A,N/A,N/A,1、2、3,542,24.999864,121.291707,N/A
京澄軒朗社區大樓,桃園分局,68000,68000010,文中里,3,N/A,N/A,正光一街,N/A,N/A,N/A,N/A,268,N/A,N/A,N/A,1、2、3,468,24.999097,121.288996,N/A
桃園市政府,桃園分局,68000,68000010,光興里,0,縣府路,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,1、2、3,2234,24.992902,121.30106,N/A
?大京森社區,桃園分局,68000,68000010,光興里,0,縣府路,N/A,N/A,N/A,N/A,N/A,N/A,21,N/A,N/A,N/A,1,116,24.993955,121.300301,N/A
桃園市政府體育局,桃園分局,68000,68000010,萬壽里,0,三民路,N/A,N/A,一,N/A,N/A,N/A,1,N/A,N/A,N/A,1、2,1270,24.993917,121.324736,N/A
桃園市政府警察局,桃園分局,68000,68000010,光興里,0,縣府路,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,1,1436,24.993061,121.301904,N/A
桃園市政府警察局,桃園分局,68000,68000010,三元里,0,成功路,N/A,N/A,三,40,N/A,N/A,58,N/A,N/A,N/A,1,293,24.998166,121.3256,N/A
桃園市桃園區公所,桃園分局,68000,68000010,光興里,0,縣府路,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,1,1957,24.994021,121.301681,N/A
桃園市政府衛生局,桃園分局,68000,68000010,光興里,0,縣府路,N/A,N/A,N/A,N/A,N/A,N/A,55,N/A,N/A,N/A,1,520,24.992919,121.300296,N/A
同良機械有限公司,桃園分局,68000,68000010,大樹里,5,興隆路,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,1,793,24.984749,121.320216,N/A
昭陽君?社區大樓,桃園分局,68000,68000010,文中里,2,國際路,N/A,N/A,二,N/A,N/A,N/A,380,N/A,N/A,N/A,1、2、3,903,24.997756,121.288061,N/A
明築隱社區大樓,桃園分局,68000,68000010,文中里,3,N/A,N/A,正光一街,N/A,N/A,N/A,N/A,106,N/A,N/A,N/A,1、2、3,538,24.99911,121.294106,N/A
?都巴黎社區大樓,桃園分局,68000,68000010,中正里,24,力行路,N/A,N/A,N/A,385,51,N/A,10,N/A,N/A,N/A,1、2、3、4,1959,24.997144,121.298048,N/A
?大京森社區大樓,桃園分局,68000,68000010,西門里,4,民族路,N/A,N/A,N/A,297,N/A,N/A,3,N/A,N/A,N/A,1,114,24.995817,121.306343,N/A
昕中城社區大樓,桃園分局,68000,68000010,中正里,23,文中東路,N/A,N/A,N/A,N/A,N/A,N/A,80,N/A,N/A,N/A,1、2、3,1496,24.995908,121.297088,N/A
百川凱硯社區大樓,桃園分局,68000,68000010,中興里,25,N/A,N/A,保定三街,N/A,89,N/A,N/A,7,N/A,N/A,N/A,1、2、3,1348,24.998385,121.29872,N/A
合輝豐鉑社區大樓,桃園分局,68000,68000010,文中里,3,力行路,N/A,N/A,N/A,N/A,N/A,N/A,636,N/A,N/A,N/A,1、2、3,1471,24.998331,121.29373,N/A
透天,桃園分局,68000,68000010,文中里,3,文中一路,N/A,N/A,N/A,N/A,N/A,N/A,136,N/A,N/A,N/A,1、2,271,24.998673,121.293645,N/A
大清卓越社區大樓,桃園分局,68000,68000010,同安里,15,N/A,N/A,新埔八街,N/A,N/A,N/A,N/A,130,N/A,N/A,N/A,1、2、3,1994,25.019104,121.299124,N/A
